filename,comparison,agreement_score
gpt-4o-mini_vs_llama-3-1-8b-instruct_5.json,human_vs_annotations_4o_mini_ev,0.0
gpt-4o-mini_vs_llama-3-1-8b-instruct_5.json,human_vs_annotations_gemini_ev,0.06666666666666667
gpt-4o-mini_vs_llama-3-1-8b-instruct_5.json,human_vs_annotations_gemini_2_ev,0.6
llama-3-1-405b-instruct_vs_gemini-flash-1-5_3.json,human_vs_annotations_4o_mini_ev,0.25
llama-3-1-405b-instruct_vs_gemini-flash-1-5_3.json,human_vs_annotations_gemini_ev,0.2
llama-3-1-405b-instruct_vs_gemini-flash-1-5_3.json,human_vs_annotations_gemini_2_ev,0.55
claude-3-5-haiku_vs_gpt-4o_1.json,human_vs_annotations_4o_mini_ev,0.1
claude-3-5-haiku_vs_gpt-4o_1.json,human_vs_annotations_gemini_ev,0.3
claude-3-5-haiku_vs_gpt-4o_1.json,human_vs_annotations_gemini_2_ev,0.95
gpt-4o_vs_gpt-4o-mini_1.json,human_vs_annotations_4o_mini_ev,0.3684210526315789
gpt-4o_vs_gpt-4o-mini_1.json,human_vs_annotations_gemini_ev,0.45
gpt-4o_vs_gpt-4o-mini_1.json,human_vs_annotations_gemini_2_ev,1.0
gemini-flash-1-5_vs_claude-3-5-sonnet_5.json,human_vs_annotations_4o_mini_ev,0.07692307692307693
gemini-flash-1-5_vs_claude-3-5-sonnet_5.json,human_vs_annotations_gemini_ev,0.26666666666666666
gemini-flash-1-5_vs_claude-3-5-sonnet_5.json,human_vs_annotations_gemini_2_ev,0.8666666666666667
