filename,comparison,overall_kappa
gpt-4o-mini_vs_llama-3-1-8b-instruct_5.json,human_vs_annotations_4o_mini_ev,0.022526146419951654
gpt-4o-mini_vs_llama-3-1-8b-instruct_5.json,human_vs_annotations_gemini_ev,0.48538011695906436
gpt-4o-mini_vs_llama-3-1-8b-instruct_5.json,human_vs_annotations_gemini_2_ev,0.857916102841678
llama-3-1-405b-instruct_vs_gemini-flash-1-5_3.json,human_vs_annotations_4o_mini_ev,0.467438494934877
llama-3-1-405b-instruct_vs_gemini-flash-1-5_3.json,human_vs_annotations_gemini_ev,0.4189531934516947
llama-3-1-405b-instruct_vs_gemini-flash-1-5_3.json,human_vs_annotations_gemini_2_ev,0.8030242737763629
claude-3-5-haiku_vs_gpt-4o_1.json,human_vs_annotations_4o_mini_ev,0.439826526924467
claude-3-5-haiku_vs_gpt-4o_1.json,human_vs_annotations_gemini_ev,0.5777351247600768
claude-3-5-haiku_vs_gpt-4o_1.json,human_vs_annotations_gemini_2_ev,0.9847978108847674
gpt-4o_vs_gpt-4o-mini_1.json,human_vs_annotations_4o_mini_ev,0.5947470474175921
gpt-4o_vs_gpt-4o-mini_1.json,human_vs_annotations_gemini_ev,0.6987951807228916
gpt-4o_vs_gpt-4o-mini_1.json,human_vs_annotations_gemini_2_ev,1.0
gemini-flash-1-5_vs_claude-3-5-sonnet_5.json,human_vs_annotations_4o_mini_ev,0.27929441411171774
gemini-flash-1-5_vs_claude-3-5-sonnet_5.json,human_vs_annotations_gemini_ev,0.3396226415094339
gemini-flash-1-5_vs_claude-3-5-sonnet_5.json,human_vs_annotations_gemini_2_ev,0.950920245398773
